#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	1	1.0	1.0	True	none	0	False	True	1	0.21579090574915938
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	1	1.0	1.0	True	none	0	False	True	1	0.21647659980306133
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	1	1.0	1.0	True	none	0	False	True	1	0.21794199694922256
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	2	1.0	1.0	True	none	00	False	True	1	0.16214585179740026
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	2	1.0	1.0	True	none	00	False	True	1	0.1649139456169585
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	2	1.0	1.0	True	none	00	False	True	1	0.1671316349400599
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	3	1.0	1.0	True	none	000	False	True	1	0.132304403880392
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	3	1.0	1.0	True	none	000	False	True	1	0.13487364795396517
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	3	1.0	1.0	True	none	000	False	True	1	0.13336550737983455
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.12894551836773482
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.1303052366767733
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.13203099243244976
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	5	1.0	1.0	True	none	00000	False	True	1	0.1352817031178023
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	5	1.0	1.0	True	none	00000	False	True	1	0.12967029169052302
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	5	1.0	1.0	True	none	00000	False	True	1	0.1330768298909687
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	6	1.0	1.0	True	none	000000	False	True	1	0.1358941273464681
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	6	1.0	1.0	True	none	000000	False	True	1	0.13479984620498942
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	6	1.0	1.0	True	none	000000	False	True	1	0.13597479568283155
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	10000	0.0	0.0	7	1.0	1.0	True	none	0000000	False	True	1	0.14438645632452063
