#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
8	True	False	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	True	gaussian	00	0.0	[512, 512]	ce	32	0	1.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	None	0.0	1.0	1.0	100	-1	True	False	False	1.0000	0.5000	0.5000	-1.0000	-1.0000	1.0099	1.0695	-0.0065	-0.0010	1.0050	0.0000	1.0342	0.0000	182	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
8	True	False	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	True	gaussian	00	0.0	[512, 512]	ce	32	0	1.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	None	0.0	1.0	1.0	100	-1	True	False	False	1.0000	0.4688	0.5312	-1.0000	-1.0000	1.0030	1.0493	-0.0052	0.0445	1.0015	0.0000	1.0253	0.0000	154	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
8	True	False	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	True	gaussian	00	0.0	[512, 512]	ce	32	0	1.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	None	0.0	1.0	1.0	100	-1	True	False	False	1.0000	0.4688	0.5312	-1.0000	-1.0000	1.0058	0.9161	-0.0045	-0.0115	1.0029	0.0000	0.9572	0.0000	183	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
8	True	False	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	True	gaussian	00	0.0	[512, 512]	ce	32	0	1.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	None	0.0	1.0	1.0	100	-1	True	False	False	1.0000	0.4792	0.5208	-1.0000	-1.0000	1.0101	1.0571	-0.0076	0.0321	1.0051	0.0000	1.0287	0.0000	194	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
8	True	False	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	True	gaussian	00	0.0	[512, 512]	ce	32	0	1.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	None	0.0	1.0	1.0	100	-1	True	False	False	1.0000	0.5104	0.4896	-1.0000	-1.0000	1.0012	1.0654	-0.0096	-0.0187	1.0006	0.0000	1.0323	0.0000	206	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
