##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#mnist	none	none	fc	1	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.9998203713666155	-0.6931471805599452
##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#mnist	none	none	fc	3	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.9842479025174984	-2.3236488643197157
##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#mnist	none	none	fc	11	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.8255016054904837	-6.47697476570943
##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#mnist	none	none	fc	36	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.6497699649288147	-22.671433821288375
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	fc	1	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.9998203713666155	-0.693147180559945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	fc	3	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.9841927879731585	-2.3131705741618296
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	fc	11	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.860007884581447	-8.900598589178308
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	fc	36	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.6600593576602131	-23.74492360428579
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	fc	122	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.5396545620088713	-77.10541664341251
