#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	1	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.9998203713666155	-0.693147180559945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	3	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.9849743958985993	-2.465302395923634
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	11	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.8586715846401303	-8.79609565886729
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	36	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.6742223457579543	-25.276936528004494
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	122	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.5167185883729956	-71.17353789650753
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	407	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.45423806404861666	-226.5188739390797
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	1357	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.42693323715055564	-733.1563598084831
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	4516	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.4128840775267363	-2380.156773072047
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	15026	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.3808098105515003	-7175.438377578804
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	122	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.5544711997038074	-81.0966793227536
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
EMNIST	none	none	fc	407	0.0	0.0	2	1.41	0.0	True	None	00	False	True	1	0.5150681251799267	-274.61587473858754
