#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	mnist	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[512, 512]	ce	1	0	0.1	resnetv2_50	20	2	adam	False	False	['VALID', 'SAME']	avg	0.0	0.1	1.41	100	-1	True	False	False	1.0000	0.4942	0.5058	-1.0000	-1.0000	0.9155	0.0011	0.0000	0.4121	0.9666	0.0001	0.6409	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	mnist	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[512, 512]	ce	1	0	0.1	resnext50	20	2	adam	False	False	['VALID', 'SAME']	avg	0.0	0.1	1.41	100	-1	True	False	False	1.0000	0.4942	0.5058	-1.0000	-1.0000	0.9401	0.0019	-0.0000	0.4987	0.9882	0.0001	0.7052	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	mnist	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[512, 512]	ce	1	0	0.1	densenet121	20	2	adam	False	False	['VALID', 'SAME']	avg	0.0	0.1	1.41	100	-1	True	False	False	1.0000	0.4942	0.5058	-1.0000	-1.0000	1.2216	0.0013	-0.0000	0.4981	1.2627	0.0002	0.7044	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	mnist	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[512, 512]	ce	3	0	0.1	resnext50	20	2	adam	False	False	['VALID', 'SAME']	avg	0.0	0.1	1.41	100	-1	True	False	False	1.0000	0.4942	0.5058	-1.0000	-1.0000	0.9406	0.0027	0.0000	0.4991	0.9888	0.0001	0.7059	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	mnist	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[512, 512]	ce	1	0	0.1	densenet169	20	2	adam	False	False	['VALID', 'SAME']	avg	0.0	0.1	1.41	100	-1	True	False	False	1.0000	0.4942	0.5058	-1.0000	-1.0000	1.2505	0.0011	0.0001	0.4979	1.2925	0.0002	0.7041	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	mnist	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[512, 512]	ce	3	0	0.1	densenet169	20	2	adam	False	False	['VALID', 'SAME']	avg	0.0	0.1	1.41	100	-1	True	False	False	1.0000	0.5052	0.4948	-1.0000	-1.0000	1.2594	0.0293	-0.0003	0.4718	1.3020	0.0011	0.6641	0.0000	18	0.0000	0.0023
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	mnist	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[512, 512]	ce	3	0	0.1	resnetv2_50	20	2	adam	False	False	['VALID', 'SAME']	avg	0.0	0.1	1.41	100	-1	True	False	False	0.7500	0.4936	0.5064	-1.0000	-1.0000	0.9314	0.3267	-0.0010	0.4547	0.9839	0.0003	1.0619	0.0000	2215	0.1787	0.0068
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	mnist	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[512, 512]	ce	3	0	0.1	densenet121	20	2	adam	False	False	['VALID', 'SAME']	avg	0.0	0.1	1.41	100	-1	True	False	False	0.8833	0.4936	0.5064	-1.0000	-1.0000	1.2318	0.1962	-0.0005	0.3934	1.2736	0.0005	0.6568	0.0000	1570	0.1590	0.0045
