#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
KMNIST	cnn	1000	0.0	0.0	4	1.0	0.0	True	none	0000	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
KMNIST	cnn	1000	0.0	0.0	4	1.0	0.0	True	none	0000	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
KMNIST	cnn	1000	0.0	0.0	4	1.0	0.0	True	none	0000	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
KMNIST	cnn	1000	0.0	0.0	4	1.0	0.0	True	none	0000	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
KMNIST	cnn	1000	0.0	0.0	4	1.0	0.0	True	none	0000	False	True	1	1.0
KMNIST	fc	1000	0.0	0.0	1	2.0	0.0	True	none	0	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	100	0.0	0.0	1	2.0	0.0	True	none	0	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	100	0.0	0.0	1	2.0	0.0	True	none	0	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	100	0.0	0.0	1	2.0	0.0	True	none	0	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	100	0.0	0.0	1	2.0	0.0	True	none	0	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	100	0.0	0.0	1	2.0	0.0	True	none	0	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	100	0.0	0.0	1	2.0	0.0	True	none	0	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	100	0.0	0.0	1	2.0	0.0	True	none	0	False	True	1	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	100	0.0	0.0	1	2.0	0.0	True	none	0	False	True	1	1.0
