##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	27	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.7097977615343163	-18.880639538317652
##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	81	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.5951027522625669	-56.51350810685386
##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	245	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.5386968159980384	-170.62245939356302
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	1	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.9998203713666155	-0.6931471805599452
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	3	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.9828049606704646	-2.0607066605685076
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	9	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.8732391134403236	-6.26315379136619
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	27	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.7098042972279395	-18.881247616724885
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	81	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.5950985314614645	-56.51266373680875
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	245	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.5386951937572462	-170.62159781638547
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	736	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.5148611783994589	-511.22973434474216
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	84.0	00001110110011111001111111001111000000000000000000000000000000000000000001001100000000001101110100000000000000000000000000000000	vgg16	2214	0.0	0.0	4	1.41	0.1	True	None	0000	False	True	0	0.5056690628961065	-1536.5372774129605
