#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	1.7193679822850405
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	1.6173868323942426
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	1.718637719271717
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	1.7244605051106436
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	1.7141936853196378
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	1000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.7161718118683331
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	1000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.6947001057755328
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	1000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.34484011230238465
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	1000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.34484011230238465
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	1000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.34484011230238465
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	1000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.6982356243414394
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	1000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.4335854181941223
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	500	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.579688116577705
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	500	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.451769482053721
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	500	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.5254291374161568
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	500	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.5227675921012335
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	500	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.5186832356603871
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	cnn	500	0.0	0.0	4	1.0	1.0	True	max	0000	False	True	1	0.36008063015431174
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
