#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	mnist-fashion	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	True		0.7078513130501812
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	mnist-fashion	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	False		0.5426828281923861
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	mnist-fashion	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	True		0.7920156726434286
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	cifar	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	True		0.9114667165714698
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	cifar	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	False		0.9701628751812997
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	cifar	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	False		0.9643328822319771
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	cifar	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	True		0.886767046436478
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	cifar	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	True		0.872953747554705
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	mnist-fashion	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	True		0.7558877559698847
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	mnist	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	True		0.8160069759322316
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	mnist	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	False		0.72260374394078
#?	alsologtostderr	binarized	compute_bound	compute_kernel	confusion	dataset	helpxml	intermediate_pooling	label_corruption	log_dir	logtostderr	m	n_gpus	network	number_layers	only_check_args	pdb_post_mortem	pooling	profile_file	run_with_pdb	run_with_profiling	showprefixforinfo	sigmab	sigmaw	stderrthreshold	test_random_seed	test_randomize_ordering_seed	test_srcdir	test_tmpdir	training	use_cprofile_for_profiling	v	verbosity	whitening	xml_output_file	bound
False	False	True	True	True	0.0	mnist-fashion	False	0000	0.0		False	100	1	cnn	4	False	False	none	None	False	False	True	1.0	1.0	fatal	301	None		/tmp/absl_testing	True	True	0	0	False		0.5346546931043303
