##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#KMNIST	none	none	vgg19	1000	0.0	0.0	4	1.414	0.0	True	None	0000	False	True	1	0.5107558394700864	-693.1466259682138
##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#KMNIST	none	none	vgg16	1000	0.0	0.0	4	1.414	0.0	True	None	0000	False	True	1	0.5107501052345267	-693.134905435976
##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#KMNIST	none	none	vgg19	1000	0.0	0.0	4	2.0	0.0	True	None	0000	False	True	1	0.5073358866694035	-686.1806664768176
##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#KMNIST	none	none	vgg16	1000	0.0	0.0	4	2.0	0.0	True	None	0000	False	True	1	0.49688978561814945	-665.1990364415922
##dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#KMNIST	none	none	vgg19	1000	0.0	0.0	4	10.0	0.0	True	None	0000	False	True	1	0.6054647247426002	-908.2997426941683
#########
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
KMNIST	none	none	vgg19	1000	0.0	0.0	4	5.0	0.0	True	None	0000	False	True	1	0.29808380289726566	-332.1942770653371
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
KMNIST	none	none	vgg16	1000	0.0	0.0	4	5.0	0.0	True	None	0000	False	True	1	0.2875313226950259	-317.2723471193399
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
KMNIST	none	none	densenet121	1000	0.0	0.0	4	5.0	0.0	True	None	0000	False	True	1	0.7891467681537497	-1534.8459888401276
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
KMNIST	none	none	mobilenetv2	1000	0.0	0.0	4	5.0	0.0	True	None	0000	False	True	1	0.48335577545442754	-638.6538126801851
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
KMNIST	none	none	nasnet	1000	0.0	0.0	4	5.0	0.0	True	None	0000	False	True	1	0.3624759598016829	-428.41631018199337
###### using EP
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
KMNIST	none	none	resnet50	1000	0.0	0.0	4	3.0	0.0	True	None	0000	False	True	1	0.39314102126332107	-477.7118575314635
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
KMNIST	none	none	vgg19	1000	0.0	0.0	4	3.0	0.0	True	None	0000	False	True	1	0.3375951665474599	-390.13139669531074
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
KMNIST	none	none	vgg16	1000	0.0	0.0	4	3.0	0.0	True	None	0000	False	True	1	0.3223213542598312	-367.3350948738406
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
KMNIST	none	none	resnet50	1000	0.0	0.0	4	3.0	0.0	True	None	0000	False	True	1	0.34438920830075004	-400.44098908625233
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
