###
######## THIS IS when I normalized the image too much because I dind't know that the d.transform() normalized them already, so the pixel values were turning out super tiny
###
##batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_width	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	test_function_size	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
#32	True	False	False	0.0	EMNIST	1	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	False	gaussian	0000	0.0	512	ce	1000	1	0.1	resnet50	4	4	sgd	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	100	-1	True	False	0.8335	0.3774	0.6226	0.0000	1.0000	0.7762	0.2203	0.0008	0.5013	0.9692	0.0001	1.6601	0.0000	2999	0.0014	0.0021
##batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_width	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	test_function_size	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
#32	True	False	False	0.0	EMNIST	1	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	False	gaussian	0000	0.0	512	ce	1000	1	0.1	resnet101	4	4	sgd	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	100	-1	True	False	0.8337	0.3790	0.6210	0.0000	1.0000	0.7875	0.5419	0.0005	1.0735	0.9841	0.0002	6.9166	0.0000	2999	0.0027	0.0019
#####
batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_width	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	test_function_size	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	EMNIST	1	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	False	gaussian	0000	0.0	512	ce	1000	1	0.1	resnet50	4	4	sgd	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	100	-1	True	False	1.0000	0.2111	0.7889	0.0000	1.0000	0.7770	0.1502	-0.0002	0.3524	0.9703	0.0002	0.9385	0.0000	36	0.0055	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_width	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	test_function_size	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	EMNIST	1	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	False	gaussian	0000	0.0	512	ce	1000	1	0.1	resnet101	4	4	sgd	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	100	-1	True	False	1.0000	0.2204	0.7796	0.0000	1.0000	0.7909	0.4504	0.0003	0.8534	0.9930	0.0008	7.2415	0.0000	39	0.0077	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_width	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	test_function_size	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	EMNIST	1	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	False	gaussian	0000	0.0	512	ce	1000	1	0.1	resnet152	4	4	sgd	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	100	-1	True	False	1.0000	0.2295	0.7705	0.0000	1.0000	0.8090	1.4431	0.0006	2.0738	1.0777	0.0107	60.7787	0.0000	124	0.0050	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_width	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	test_function_size	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	EMNIST	1	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	False	gaussian	0000	0.0	512	ce	1000	1	0.1	resnetv2_50	4	4	sgd	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	100	-1	True	False	1.0000	0.2084	0.7916	0.0000	1.0000	0.7755	0.1122	-0.0001	0.3334	0.9683	0.0001	0.6072	0.0000	26	0.0032	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_width	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	test_function_size	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	False	False	0.0	EMNIST	1	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	False	gaussian	0000	0.0	512	ce	1000	1	0.1	resnetv2_101	4	4	sgd	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	100	-1	True	False	1.0000	0.2114	0.7886	0.0000	1.0000	0.7869	0.2368	-0.0003	0.5849	0.9834	0.0002	1.2941	0.0000	40	0.0047	0.0000
