#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	init_dist	intermediate_pooling	label_corruption	loss	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	False	False	0.0	EMNIST	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	gaussian	0000	0.0	mse	1000	1	0.1	vgg19	512	4	4	adam	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	-1	True	False	0.6650	0.3404	0.6596	0.0000	1.0000	0.8206	0.0027	-0.1085	-0.0038	1.0110	0.0031	0.0067	0.0000	2999	0.0000	0.0000
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	init_dist	intermediate_pooling	label_corruption	loss	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	False	False	0.0	EMNIST	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	gaussian	0000	0.0	mse	1000	1	0.1	vgg16	512	4	4	adam	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	-1	True	False	0.6650	0.3404	0.6596	0.0000	1.0000	0.8202	0.0023	-0.1217	-0.0044	1.0132	0.0022	0.0074	0.0000	2999	0.0000	0.0000
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	init_dist	intermediate_pooling	label_corruption	loss	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	False	False	0.0	EMNIST	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	gaussian	0000	0.0	mse	1000	1	0.1	resnet50	512	4	4	adam	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	-1	True	False	1.0000	0.2576	0.7424	0.0120	0.9996	1.1563	0.7133	-0.0020	1.2994	1.4314	0.0006	6.4497	0.0000	80	0.0083	0.0000
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	init_dist	intermediate_pooling	label_corruption	loss	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	False	False	0.0	EMNIST	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	gaussian	0000	0.0	mse	1000	1	0.1	resnetv2_50	512	4	4	adam	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	-1	True	False	1.0000	0.2403	0.7597	0.0418	0.9974	0.7901	0.3212	-0.0027	0.6453	0.9884	0.0007	1.6543	0.0000	31	0.0065	0.0000
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	init_dist	intermediate_pooling	label_corruption	loss	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	False	False	0.0	EMNIST	[[5, 5], [2, 2], [5, 5], [2, 2]]	1.0	gaussian	0000	0.0	mse	1000	1	0.1	resnetv2_101	512	4	4	adam	False	False	['VALID', 'SAME', 'VALID', 'SAME']	None	0.0	1.414	-1	True	False	1.0000	0.2274	0.7726	0.0011	0.9999	0.8038	0.6625	-0.0039	1.3481	1.0066	0.0009	4.0238	0.0000	62	0.0124	0.0000
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	init_dist	intermediate_pooling	label_corruption	loss	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	threshold	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
