#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	mse	10	0	2.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	0.0000	1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	-0.0527	0.0000	1.4049	0.0000	0.0000	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	mse	10	0	2.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	0.0000	1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	-0.0102	0.0000	1.4060	0.0000	0.0000	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	mse	10	0	2.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	0.0000	1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	-0.0308	0.0000	1.4062	0.0000	0.0000	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	mse	10	0	2.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	0.0000	1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0108	0.0000	1.3739	0.0000	0.0000	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	mse	10	0	2.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	0.0000	1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	-0.0048	0.0000	1.4237	0.0000	0.0000	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
