#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	10	0	2.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.2458	0.7542	0.6132	1.0000	0.0000	0.0000	0.0259	0.0009	1.3995	0.0000	0.0126	0.0000	34	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	1	0	2.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.1890	0.8110	0.0000	1.0000	0.0000	0.0000	-0.0517	-0.0000	1.4045	0.0000	0.0007	0.0000	0	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	10	0	2.0	fc	1	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.4237	0.5763	0.0308	1.0000	0.0000	0.0000	-0.0249	0.0006	1.4260	0.0000	0.0109	0.0000	71	0.0000	0.0000
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	1	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.4392	0.5608	-1.0000	-1.0000	1.4000	0.0019	0.0018	-0.0001	1.4103	0.0233	0.0000	0.0000	0	0.0000	0.1809
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	2	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.4575	0.5425	-1.0000	-1.0000	1.4002	0.0029	-0.0080	-0.0000	1.4103	0.0216	0.0011	0.0000	3	0.0000	0.1579
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	3	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.3901	0.6099	-1.0000	-1.0000	1.4000	0.0036	-0.0005	-0.0001	1.4106	0.0248	0.0084	0.0000	5	0.0000	0.1559
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	4	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.3835	0.6165	-1.0000	-1.0000	1.3994	0.0051	0.0022	0.0000	1.4098	0.0222	0.0037	0.0000	13	0.0000	0.1828
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	5	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.3610	0.6390	-1.0000	-1.0000	1.4002	0.0054	0.0068	0.0000	1.4106	0.0216	0.0054	0.0000	16	0.0000	0.1386
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	7	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.3430	0.6570	-1.0000	-1.0000	1.4014	0.0069	0.0011	0.0002	1.4116	0.0238	0.0043	0.0000	30	0.0000	0.1278
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	9	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.3131	0.6869	-1.0000	-1.0000	1.4017	0.0084	0.0011	0.0005	1.4120	0.0234	0.0039	0.0000	48	0.0000	0.1331
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	12	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.2705	0.7295	-1.0000	-1.0000	1.4057	0.0104	0.0060	0.0008	1.4160	0.0214	0.0073	0.0000	75	0.0000	0.1221
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	16	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.2451	0.7549	-1.0000	-1.0000	1.4023	0.0128	0.0082	0.0015	1.4127	0.0218	0.0005	0.0000	128	0.0000	0.1145
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	21	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.2232	0.7768	-1.0000	-1.0000	1.4074	0.0147	0.0089	0.0024	1.4182	0.0250	0.0155	0.0000	195	0.0000	0.1190
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	27	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.1948	0.8052	-1.0000	-1.0000	1.4095	0.0176	0.0081	0.0034	1.4206	0.0227	0.0138	0.0000	308	0.0000	0.1069
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	35	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.1930	0.8070	-1.0000	-1.0000	1.4127	0.0195	0.0066	0.0040	1.4237	0.0268	0.0212	0.0000	195	0.0000	0.0974
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	46	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.1738	0.8262	-1.0000	-1.0000	1.4220	0.0235	0.0064	0.0064	1.4337	0.0265	0.0185	0.0000	314	0.0000	0.0913
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	59	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.1558	0.8442	-1.0000	-1.0000	1.4268	0.0263	0.0066	0.0074	1.4401	0.0288	0.0243	0.0000	428	0.0000	0.0820
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	76	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.1517	0.8483	-1.0000	-1.0000	1.4363	0.0295	0.0168	0.0101	1.4504	0.0253	0.0278	0.0000	419	0.0000	0.0830
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
32	True	True	False	0.0	boolean	0	[[5, 5], [2, 2]]	1.0	False	gaussian	00	0.0	[40, 40]	ce	99	0	2.0	fc	100	2	sgd	False	False	['VALID', 'SAME']	avg	0.0	0.0	1.41	100	-1	True	False	False	1.0000	0.1141	0.8859	-1.0000	-1.0000	1.4364	0.0318	0.0176	0.0106	1.4512	0.0281	0.0447	0.0000	366	0.0000	0.0728
#batch_size	binarized	centering	channel_normalization	confusion	dataset	epochs_after_fit	filter_sizes	gamma	ignore_non_fit	init_dist	intermediate_pooling	label_corruption	layer_widths	loss	m	n_gpus	n_samples_repeats	network	number_inits	number_layers	optimizer	oversampling	oversampling2	padding	pooling	shifted_init_shift	sigmab	sigmaw	test_function_size	threshold	training	use_shifted_init	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
