#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10000	0.0	0.0	4	2.0	0.1	True	none	0000	False	True	1	0.5070160850218024
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10000	0.0	0.0	4	2.0	0.1	True	max	0000	False	True	1	0.45564963839005823
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10000	0.0	0.0	4	2.0	0.1	True	avg	0000	False	True	1	0.44439843528786016
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
#cifar	cnn	20000	0.0	0.0	4	2.0	0.1	True	none	0000	False	True	1	0.46547462469013456
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
#cifar	cnn	20000	0.0	0.0	4	2.0	0.1	True	max	0000	False	True	1	0.465441961728174
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
#cifar	cnn	20000	0.0	0.0	4	2.0	0.1	True	avg	0000	False	True	1	0.4695339203822012
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10000	0.0	0.0	4	1.0	1.0	True	max	0000	False	True	1	0.44356888482649837
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10000	0.0	0.0	4	1.0	1.0	True	avg	0000	False	True	1	0.4705014453708076
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
cifar	cnn	10000	0.0	0.0	4	1.0	1.0	True	none	0000	False	True	1	0.4806715428222388
###############
