binarized	compute_bound	confusion	dataset	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.0	cifar		0.0	5000	1	cnn	4	1.0	1.0	0.6979279075733283
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.1	cifar		0.0	5000	1	cnn	4	1.0	1.0	0.7543821573990838
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.2	cifar		0.0	5000	1	cnn	4	1.0	1.0	0.7906728445975567
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.3	cifar		0.0	5000	1	cnn	4	1.0	1.0	0.8509617704495901
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.4	cifar		0.0	5000	1	cnn	4	1.0	1.0	0.9357879892418668
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.5	cifar		0.0	5000	1	cnn	4	1.0	1.0	1.038077600136516
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.6	cifar		0.0	5000	1	cnn	4	1.0	1.0	1.171676739581552
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.7	cifar		0.0	5000	1	cnn	4	1.0	1.0	1.4125246801726181
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.8	cifar		0.0	5000	1	cnn	4	1.0	1.0	1.8924901092704565
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.9	cifar		0.0	5000	1	cnn	4	1.0	1.0	3.2354174720898787
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.0	mnist		0.0	5000	1	cnn	4	1.0	1.0	0.18817299252188752
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.1	mnist		0.0	5000	1	cnn	4	1.0	1.0	0.3252808860653303
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.2	mnist		0.0	5000	1	cnn	4	1.0	1.0	0.42575112945693727
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.3	mnist		0.0	5000	1	cnn	4	1.0	1.0	0.502352193886856
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.4	mnist		0.0	5000	1	cnn	4	1.0	1.0	0.6027402755751489
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.5	mnist		0.0	5000	1	cnn	4	1.0	1.0	0.6767723306811508
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.6	mnist		0.0	5000	1	cnn	4	1.0	1.0	0.798568644205652
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.7	mnist		0.0	5000	1	cnn	4	1.0	1.0	0.9895075908083301
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.8	mnist		0.0	5000	1	cnn	4	1.0	1.0	1.3682297777705896
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.9	mnist		0.0	5000	1	cnn	4	1.0	1.0	2.3654464776892357
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.0	cifar		0.0	5000	1	fc	4	1.0	1.0	0.6930930321592388
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.1	cifar		0.0	5000	1	fc	4	1.0	1.0	0.7148647888013986
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.2	cifar		0.0	5000	1	fc	4	1.0	1.0	0.7421159599096634
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.3	cifar		0.0	5000	1	fc	4	1.0	1.0	0.7768260677050974
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.4	cifar		0.0	5000	1	fc	4	1.0	1.0	0.8236528473982938
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.5	cifar		0.0	5000	1	fc	4	1.0	1.0	0.8893670481862115
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.6	cifar		0.0	5000	1	fc	4	1.0	1.0	0.9868439748374248
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.7	cifar		0.0	5000	1	fc	4	1.0	1.0	1.1452267288432179
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.8	cifar		0.0	5000	1	fc	4	1.0	1.0	1.4743515377646996
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.9	cifar		0.0	5000	1	fc	4	1.0	1.0	2.442309913538031
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.0	mnist		0.0	5000	1	fc	4	1.0	1.0	0.6418039273370567
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.1	mnist		0.0	5000	1	fc	4	1.0	1.0	0.6597728082005182
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.2	mnist		0.0	5000	1	fc	4	1.0	1.0	0.6878323608030765
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.3	mnist		0.0	5000	1	fc	4	1.0	1.0	0.7220579836357147
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.4	mnist		0.0	5000	1	fc	4	1.0	1.0	0.7702881066416859
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.5	mnist		0.0	5000	1	fc	4	1.0	1.0	0.8326214020158953
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.6	mnist		0.0	5000	1	fc	4	1.0	1.0	0.9153085988127505
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.7	mnist		0.0	5000	1	fc	4	1.0	1.0	1.0674457017162815
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.8	mnist		0.0	5000	1	fc	4	1.0	1.0	1.3482402282086634
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	0.9	mnist		0.0	5000	1	fc	4	1.0	1.0	2.231505936252419
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.0	cifar		0.0	5000	1	cnn	4	1.0	1.0	inf
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.1	cifar		0.0	5000	1	cnn	4	1.0	1.0	-2.3919549976882637
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.2	cifar		0.0	5000	1	cnn	4	1.0	1.0	-0.9097366072377813
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.3	cifar		0.0	5000	1	cnn	4	1.0	1.0	-0.46739011917407397
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.4	cifar		0.0	5000	1	cnn	4	1.0	1.0	-0.2246889722547391
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.5	cifar		0.0	5000	1	cnn	4	1.0	1.0	-0.07698019047389892
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.6	cifar		0.0	5000	1	cnn	4	1.0	1.0	0.008959631193076188
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.7	cifar		0.0	5000	1	cnn	4	1.0	1.0	0.08059413862670221
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.8	cifar		0.0	5000	1	cnn	4	1.0	1.0	0.13318248265249563
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.9	cifar		0.0	5000	1	cnn	4	1.0	1.0	0.1719611809313213
#binarized	compute_bound	confusion	dataset	f	label_corruption	m	n_gpus	network	number_layers	sigmab	sigmaw	bound
True	True	1.0	mnist		0.0	5000	1	cnn	4	1.0	1.0	inf
