#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
EMNIST	vgg19	10000	0.0	0.0	1	0.1	0.1	True	avg	0	False	True	8	0.44319476972240246
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
EMNIST	vgg19	10000	0.0	0.0	1	0.6	0.1	True	avg	0	False	True	8	0.43951086433566267
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
EMNIST	vgg19	10000	0.0	0.0	1	1.0	0.1	True	avg	0	False	True	8	0.3007320617794137
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
EMNIST	vgg19	10000	0.0	0.0	1	1.6	0.1	True	avg	0	False	True	8	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
EMNIST	vgg19	10000	0.0	0.0	1	1.3	0.1	True	avg	0	False	True	8	0.30617224698841006
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
EMNIST	vgg19	10000	0.0	0.0	1	2.0	0.1	True	avg	0	False	True	8	0.03724894644520804
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
EMNIST	vgg19	10000	0.0	0.0	1	2.3	0.1	True	avg	0	False	True	8	0.30699214960992116
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
EMNIST	vgg19	10000	0.0	0.0	1	2.6	0.1	True	avg	0	False	True	8	0.41077193556510383
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
EMNIST	vgg19	10000	0.0	0.0	1	3.0	0.1	True	avg	0	False	True	8	0.6470796943733574
