#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	1.0	0.2	True	max	0000000000	False	True	0	1.0	False	0.1481895951716633	-1577.5609120544477
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	1.1	0.2	True	max	0000000000	False	True	0	1.0	False	0.1470277766364848	-1563.9308023168842
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	1.2	0.2	True	max	0000000000	False	True	0	1.0	False	0.14786650205641405	-1573.7686144489235
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	1.3	0.2	True	max	0000000000	False	True	0	1.0	False	0.14913332230289533	-1588.646128829333
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	1.4	0.2	True	max	0000000000	False	True	0	1.0	False	0.15053709888393052	-1605.1579500369999
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	1.5	0.2	True	max	0000000000	False	True	0	1.0	False	0.15262718410175347	-1629.7930547074839
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	1.6	0.2	True	max	0000000000	False	True	0	1.0	False	0.1486553008796293	-1583.029653198374
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	1.7	0.2	True	max	0000000000	False	True	0	1.0	False	0.1516533452197102	-1618.307204530688
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	1.8	0.2	True	max	0000000000	False	True	0	1.0	False	0.15470492738829522	-1654.3429896851721
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	1.9	0.2	True	max	0000000000	False	True	0	1.0	False	0.158539801536009	-1699.8134953459994
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	kernel_mult	normalize_kernel	bound	logP
mnist	none	none	fc	10000	0.0	0.0	10	2.0	0.2	True	max	0000000000	False	True	0	1.0	False	0.15651059643486676	-1675.7272427989747
