#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	none	none	cnn	1	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.9998203713666155	-0.6931471805599453
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	3	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.9826233648993318	-2.029189973401549
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	none	none	cnn	3	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.9830001454461533	-2.094955088920119
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	11	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.8439137981466869	-7.703552980804659
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	none	none	cnn	11	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.8386329734189346	-7.337549892032776
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	36	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.6732989404227527	-25.175040133358337
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	none	none	cnn	36	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.6727607906577981	-25.115788862768344
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	122	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.5607648484780667	-82.83236961600166
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	none	none	cnn	122	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.5725592928195158	-86.15312912410259
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	407	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.49458803324925926	-257.78013427996996
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
cifar	none	none	cnn	407	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.515854771622207	-275.2766377909272
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	1	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.9998203713666155	-0.6931471805599455
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	3	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.9829981368836755	-2.0946006546236613
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	11	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.842977237256985	-7.637747132512029
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	36	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.673485885629973	-25.195645985494323
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	122	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.5649620805479919	-84.00377993064271
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	407	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.4885361928939286	-252.9356327805331
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
mnist	none	none	cnn	1357	0.0	0.0	4	1.0	0.1	True	None	0000	False	True	8	0.4301071943912613	-740.6930586837303
