#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	intermediate_pooling	label_corruption	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	True	False	0.0	EMNIST	[[5, 5]]	1.0	0	0.0	50	1	2.0	fc	100	8	1	False	False	['VALID']	none	0.0	2.0	True	False	1.0000	0.3883	0.6117	0.0511	0.9903	1.8057	0.0018	0.0005	0.0002	2.0003	0.0012	0.0015	0.0000	62	0.0038	0.0000
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	intermediate_pooling	label_corruption	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	False	False	0.0	EMNIST	[[5, 5]]	1.0	0	0.0	50	1	2.0	fc	100	8	1	False	True	['VALID']	none	0.0	2.0	True	False	0.8428	0.5374	0.4626	0.0178	0.9901	1.8075	0.0045	-0.0116	-0.0021	2.0022	0.0025	0.0056	0.0000	2999	0.0038	0.0008
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	intermediate_pooling	label_corruption	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	True	False	0.0	EMNIST	[[5, 5]]	1.0	0	0.0	50	1	2.0	fc	100	8	1	False	False	['VALID']	none	0.0	2.0	True	False	1.0000	0.3943	0.6057	0.0421	0.9903	1.8057	0.0016	0.0021	0.0002	2.0004	0.0018	0.0022	0.0000	54	0.0123	0.0000
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	intermediate_pooling	label_corruption	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	False	False	0.0	EMNIST	[[5, 5]]	1.0	0	0.0	50	1	2.0	fc	100	8	1	False	True	['VALID']	none	0.0	2.0	True	False	0.8431	0.5383	0.4617	0.0148	0.9901	1.8054	0.0044	-0.0112	-0.0022	2.0005	0.0019	0.0053	0.0000	2999	0.0041	0.0000
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	intermediate_pooling	label_corruption	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	True	False	0.0	EMNIST	[[5, 5]]	1.0	0	0.0	50	1	2.0	fc	100	8	1	False	False	['VALID']	none	0.0	2.0	True	False	1.0000	0.3943	0.6057	0.0596	0.9902	1.8058	0.0017	-0.0002	0.0002	2.0002	0.0022	0.0024	0.0000	63	0.0060	0.0000
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	intermediate_pooling	label_corruption	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	False	False	0.0	EMNIST	[[5, 5]]	1.0	0	0.0	50	1	2.0	fc	100	8	1	False	True	['VALID']	none	0.0	2.0	True	False	0.8424	0.5328	0.4672	0.0209	0.9901	1.8069	0.0043	-0.0123	-0.0021	2.0018	0.0019	0.0053	0.0000	2999	0.0036	0.0011
#binarized	centering	channel_normalization	confusion	dataset	filter_sizes	gamma	intermediate_pooling	label_corruption	m	n_gpus	n_samples_repeats	network	num_filters	number_inits	number_layers	oversampling	oversampling2	padding	pooling	sigmab	sigmaw	training	whitening	train_acc	test_error	test_acc	test_sensitivity	test_specificity	weights_std	biases_std	weights_mean	biases_mean	weights_norm_mean	weights_norm_std	biases_norm_mean	biases_norm_std	mean_iters	train_acc_std	test_acc_std
True	True	False	0.0	EMNIST	[[5, 5]]	1.0	0	0.0	50	1	2.0	fc	100	8	1	False	False	['VALID']	none	0.0	2.0	True	False	1.0000	0.3851	0.6149	0.0573	0.9902	1.8058	0.0018	-0.0000	0.0002	1.9998	0.0020	0.0026	0.0000	62	0.0056	0.0000
