#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	10000	0.0	0.0	1	10.0	10.0	True	none	0	False	False	1	0.3838581691263099
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	10000	0.0	0.0	1	10.0	10.0	True	none	0	False	False	1	0.17025058837360352
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	10000	0.0	0.0	1	20.0	20.0	True	none	0	False	False	1	0.1577329416245773
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	10000	0.0	0.0	1	50.0	50.0	True	none	0	False	False	1	0.16382173673664835
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	10000	0.0	0.0	1	1.0	1.0	True	none	0	False	False	1	0.3839159127660814
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	resnet	10000	0.0	0.0	32	1.0	1.0	True	none	00000000000000000000000000000000	False	False	1	0.32881525588814564
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	fc	1000	0.0	0.0	1	10.0	10.0	True	none	0	False	True	1	0.35556521019593734
